"x","z","y"
0,0,0
1,1,1.84
2,1,1.91
3,1,1.14
4,0,-0.76
5,0,-0.96
6,0,-0.28
7,1,1.66
8,1,1.99
9,1,1.41
10,0,-0.54
11,0,-1.00
12,0,-0.54
13,1,1.42
14,1,1.99
15,1,1.65
16,0,-0.29
17,0,-0.96
18,0,-0.75
19,1,1.15
20,1,1.91
21,1,1.84
22,0,-0.01
23,0,-0.85
24,0,-0.91
25,0,-0.13
26,1,1.76
27,1,1.96
28,1,1.27
29,0,-0.66
30,0,-0.99
31,0,-0.40
32,1,1.55
33,1,2.00
34,1,1.53
35,0,-0.43
36,0,-0.99
37,0,-0.64
38,1,1.30
39,1,1.96
40,1,1.75
41,0,-0.16
42,0,-0.92
43,0,-0.83
44,1,1.02
45,1,1.85
46,1,1.90
47,1,1.12
48,0,-0.77
49,0,-0.95
50,0,-0.26
51,1,1.67
52,1,1.99
53,1,1.40
54,0,-0.56
55,0,-1.00
56,0,-0.52
57,1,1.44
58,1,1.99
59,1,1.64
60,0,-0.30
61,0,-0.97
62,0,-0.74
63,1,1.17
64,1,1.92
65,1,1.83
66,0,-0.03
67,0,-0.86
68,0,-0.90
69,0,-0.11
70,1,1.77
71,1,1.95
72,1,1.25
73,0,-0.68
74,0,-0.99
75,0,-0.39
76,1,1.57
77,1,2.00
78,1,1.51
79,0,-0.44
80,0,-0.99
81,0,-0.63
82,1,1.31
83,1,1.97
84,1,1.73
85,0,-0.18
86,0,-0.92
87,0,-0.82
88,1,1.04
89,1,1.86
90,1,1.89
91,1,1.11
92,0,-0.78
93,0,-0.95
94,0,-0.25
95,1,1.68
96,1,1.98
97,1,1.38
98,0,-0.57
99,0,-1.00
100,0,-0.51
