"t","p","V","P","Angle"
-0.7142857,0.9908052,0,0,0
-0.7142857,0.9927556,0.705,0.3544277,-0.3
-0.7142857,0.9935915,0.795,0.5086648,0.15
-0.7142857,0.9963778,0.995,1,0.51
-0.7142857,0.9991641,0.735,0.4042205,-0.26
-0.7142857,1,0.84,0.6038949,0.08
-0.7142857,0.9983282,0.015,3.43E-06,0.77
-0.7142857,0.9974923,0.905,0.7532725,-0.64
-0.7142857,0.9994427,0.685,0.3273006,0.32
-0.5714286,0.9712315,0.09,0.0007214,-0.02
-0.5714286,0.9729033,0.375,0.0522705,0.68
-0.5714286,0.9703957,0.57,0.1830812,-0.9
-0.5714286,0.9695598,0.49,0.1162143,0.64
-0.5714286,0.9690025,0.855,0.6170766,-0.35
-0.5714286,0.9698384,0.76,0.4337333,-0.79
-0.5714286,0.967888,0.62,0.2350052,-0.84
-0.5714286,0.9692811,0.815,0.5345987,-0.53
-0.5714286,0.9695598,0.55,0.1643387,-0.84
-0.5714286,0.967888,0.63,0.2465562,-0.91
-0.4285714,0.9524241,0.405,0.0644629,0.38
-0.4285714,0.9535386,0.475,0.1041188,0.46
-0.4285714,0.9546531,0.035,4.17E-05,-0.02
-0.4285714,0.95326,0.73,0.3778364,-0.02
-0.4285714,0.9557676,0.78,0.4621019,-0.58
-0.4285714,0.9566035,0.18,0.0056841,-0.45
-0.4285714,0.9579967,0.795,0.4904229,-0.53
-0.4285714,0.955489,0.925,0.7704657,-0.57
-0.4285714,0.9538172,0.33,0.0349238,-0.37
-0.4285714,0.9540958,0.745,0.4019609,-0.12
-0.2857143,0.9343132,0.86,0.6054866,-0.33
-0.2857143,0.9348704,0.64,0.2496795,-0.7
-0.2857143,0.9362636,0.125,0.001863,0.87
-0.2857143,0.9379354,0.88,0.6512199,0.51
-0.2857143,0.940443,0.595,0.2018307,0.55
-0.2857143,0.9426721,0.115,0.0014606,-0.79
-0.2857143,0.9440652,0.375,0.0507187,-0.88
-0.2857143,0.9454583,0.86,0.6127183,-0.11
-0.2857143,0.9471301,0.375,0.0508892,0.15
-0.2857143,0.9482446,0.455,0.0910002,-0.74
-0.1428571,0.9168989,0.62,0.2226488,-0.03
-0.1428571,0.9146698,0.625,0.2275086,-0.68
-0.1428571,0.9124408,0.02,7.44E-06,-0.79
-0.1428571,0.9102118,0.92,0.7221364,-0.4
-0.1428571,0.9099331,0.59,0.1903913,0.8
-0.1428571,0.9113263,0.645,0.2491228,0.98
-0.1428571,0.9104904,0.885,0.6430256,-0.11
-0.1428571,0.9088186,0.825,0.5198832,-0.93
-0.1428571,0.9082614,0.99,0.8979189,0.22
-0.1428571,0.9071468,0.415,0.0660538,-0.85
0,0.8999721,0.74,0.3715429,0.77
0,0.9027584,0.645,0.2468134,0.3
0,0.9044302,0.74,0.3733833,0.77
0,0.9024798,0.835,0.535282,-0.76
0,0.9027584,0.96,0.8137838,-0.04
0,0.9002508,0.085,0.0005633,0.61
0,0.8988576,0.93,0.7366068,0.65
0,0.8988576,0.47,0.0950777,-0.67
0,0.89635,0.845,0.5510253,0.04
0,0.8980217,0.69,0.3005423,-0.89
0.05714286,0.893703,0.35,0.0390385,-0.65
0.05714286,0.8911953,0.12,0.0015691,0.09
0.05714286,0.8914739,0.91,0.6844421,0.55
0.05714286,0.8952354,0.68,0.286768,-0.93
0.05714286,0.8909167,0.99,0.8807523,0.44
0.05714286,0.8877125,0.715,0.3305957,-0.51
0.05714286,0.8942602,0.515,0.1244538,-0.14
0.05714286,0.8924492,0.57,0.1683805,-0.78
0.05714286,0.888827,0.505,0.1166309,0.16
0.05714286,0.883533,0.425,0.0691053,-0.19
0.05714286,0.8907774,0.97,0.8283202,-0.39
0.05714286,0.8903594,0.885,0.6288076,0.14
