x;y
0;19
1;12
2;15
3;23
4;18
5;24
6;17
7;23
8;18
9;29
10;20
11;25
12;29
13;23
14;32
15;27
16;27
17;33
18;37
19;38
20;32
21;40
22;36
23;39
24;37
25;42
26;36
27;46
28;39
29;39
30;40
31;42
32;50
33;45
34;54
35;55
36;53
37;47
38;50
39;51
40;53
41;51
42;54
43;58
44;64
45;60
46;59
47;64
48;68
49;66
50;63
51;71
52;68
53;71
54;72
55;70
56;67
57;70
58;74
59;79
60;71
61;81
62;72
63;76
64;80
65;83
66;82
67;83
68;87
69;83
70;81
71;87
72;85
73;89
74;91
75;85
76;88
77;96
78;93
79;89
80;98
81;95
82;96
83;94
84;97
85;103
86;105
87;104
88;98
89;101
90;104
91;107
92;111
93;103
94;110
95;105
96;113
97;110
98;117
99;115
100;120
101;121
102;117
103;116
104;119
105;121
106;123
107;119
108;125
109;127
110;123
111;122
112;130
113;127
114;132
115;133
116;126
117;137
118;131
119;132
120;134
121;138
122;133
123;143
124;138
125;145
126;140
127;144
128;147
129;145
130;145
131;149
132;152
133;144
134;147
135;155
136;147
137;147
138;154
139;152
140;153
141;154
142;154
143;158
144;155
145;158
146;163
147;167
148;158
149;163
150;163
151;163
152;168
153;163
154;170
155;168
156;176
157;171
158;177
159;179
160;171
161;177
162;173
163;173
164;180
165;179
166;180
167;183
168;184
169;182
170;181
171;188
172;187
173;192
174;191
175;191
176;193
177;191
178;195
179;192
180;198
181;193
182;193
183;202
184;200
185;205
186;198
187;197
188;204
189;209
190;206
191;201
192;207
193;213
194;210
195;212
196;210
197;213
198;210
199;219
200;216
201;214
202;217
203;219
204;223
205;225
206;219
207;219
208;228
