"x","y"
0,1.000
1,1.841
2,1.909
3,1.141
4,0.243
5,0.041
6,0.721
7,1.657
8,1.989
9,1.412
10,0.456
11,0.000
12,0.463
13,1.420
14,1.991
15,1.650
16,0.712
17,0.039
18,0.249
19,1.150
20,1.913
21,1.837
22,0.991
23,0.154
24,0.094
25,0.868
26,1.763
27,1.956
28,1.271
29,0.336
30,0.012
31,0.596
32,1.551
33,2.000
34,1.529
35,0.572
36,0.008
37,0.356
38,1.296
39,1.964
40,1.745
41,0.841
42,0.083
43,0.168
44,1.018
45,1.851
46,1.902
47,1.124
48,0.232
49,0.046
50,0.738
51,1.670
52,1.987
53,1.396
54,0.441
55,0.000
56,0.478
57,1.436
58,1.993
59,1.637
60,0.695
61,0.034
62,0.261
63,1.167
64,1.920
65,1.827
66,0.973
67,0.144
68,0.102
69,0.885
70,1.774
71,1.951
72,1.254
73,0.323
74,0.015
75,0.612
76,1.566
77,2.000
78,1.514
79,0.556
80,0.006
81,0.370
82,1.313
83,1.968
84,1.733
85,0.824
86,0.077
87,0.178
88,1.035
89,1.860
90,1.894
91,1.106
92,0.221
93,0.052
94,0.755
95,1.683
96,1.984
97,1.380
98,0.427
99,0.001
100,0.494
101,1.452
102,1.995
103,1.623
104,0.678
105,0.029
106,0.273
107,1.185
108,1.927
109,1.817
110,0.956
111,0.135
112,0.110
113,0.903
114,1.785
115,1.945
116,1.237
117,0.310
118,0.018
119,0.629
120,1.581
121,1.999
122,1.499
123,0.540
124,0.004
125,0.384
126,1.330
127,1.973
128,1.721
129,0.807
130,0.070
131,0.188
132,1.053
133,1.869
134,1.886
135,1.088
136,0.210
137,0.057
138,0.772
139,1.696
140,1.980
141,1.363
142,0.412
143,0.002
144,0.509
145,1.468
146,1.996
147,1.609
148,0.662
149,0.025
150,0.285
151,1.202
152,1.933
153,1.806
154,0.938
155,0.127
156,0.118
157,0.920
158,1.796
159,1.940
160,1.219
161,0.298
162,0.022
163,0.645
164,1.595
165,1.998
166,1.483
167,0.524
168,0.003
169,0.398
170,1.347
171,1.977
172,1.709
173,0.789
174,0.064
175,0.199
176,1.071
177,1.878
178,1.878
179,1.071
180,0.199
181,0.064
182,0.789
183,1.709
184,1.977
185,1.347
186,0.398
187,0.003
188,0.524
189,1.483
190,1.998
191,1.595
192,0.645
193,0.022
194,0.298
195,1.219
196,1.940
197,1.796
198,0.920
199,0.118
200,0.127
201,0.938
202,1.806
203,1.933
204,1.202
205,0.285
206,0.025
207,0.662
208,1.609
209,1.996
210,1.468
211,0.509
212,0.002
213,0.412
214,1.363
215,1.980
216,1.696
217,0.772
218,0.057
219,0.210
220,1.088
221,1.886
222,1.869
223,1.053
224,0.188
225,0.070
226,0.807
227,1.721
228,1.973
229,1.330
230,0.384
231,0.004
232,0.540
233,1.499
234,1.999
235,1.581
236,0.629
237,0.018
238,0.310
239,1.237
240,1.945
241,1.785
242,0.903
243,0.110
244,0.135
245,0.956
246,1.817
247,1.927
248,1.185
249,0.273
250,0.029
251,0.678
252,1.623
253,1.995
254,1.452
255,0.494
256,0.001
257,0.427
258,1.380
259,1.984
260,1.683
261,0.755
262,0.052
263,0.221
264,1.106
265,1.894
266,1.860
267,1.035
268,0.178
269,0.077
270,0.824
271,1.733
272,1.968
273,1.313
274,0.370
275,0.006
276,0.556
277,1.514
278,2.000
279,1.566
280,0.612
281,0.015
282,0.323
283,1.254
284,1.951
285,1.774
286,0.885
287,0.102
288,0.144
289,0.973
290,1.827
291,1.920
292,1.167
293,0.261
294,0.034
295,0.695
296,1.637
297,1.993
298,1.436
299,0.478
300,0.000
301,0.441
302,1.396
303,1.987
304,1.670
305,0.738
306,0.046
307,0.232
308,1.124
309,1.902
310,1.851
311,1.018
312,0.168
313,0.083
314,0.841
315,1.745
316,1.964
317,1.296
318,0.356
319,0.008
320,0.572
321,1.529
322,2.000
323,1.551
324,0.596
325,0.012
326,0.336
327,1.271
328,1.956
329,1.763
330,0.868
331,0.094
332,0.154
333,0.991
334,1.837
335,1.913
336,1.150
337,0.249
338,0.039
339,0.712
340,1.650
341,1.991
342,1.420
343,0.463
344,0.000
345,0.456
346,1.412
347,1.989
348,1.657
349,0.721
350,0.041
351,0.243
352,1.141
353,1.909
354,1.841
355,1.000
356,0.159
357,0.091
358,0.859
359,1.757
360,1.959
361,1.279
362,0.343
363,0.011
364,0.588
365,1.544
366,2.000
367,1.537
368,0.580
369,0.009
370,0.350
371,1.288
372,1.961
373,1.751
374,0.850
375,0.087
376,0.163
377,1.009
378,1.846
379,1.906
380,1.132
381,0.237
382,0.044
383,0.729
384,1.664
385,1.988
386,1.404
387,0.449
388,0.000
389,0.471
390,1.428
391,1.992
392,1.644
393,0.704
394,0.036
395,0.255
396,1.159
397,1.917
398,1.832
399,0.982
400,0.149
401,0.098
402,0.876
403,1.768
404,1.954
405,1.262
406,0.330
407,0.013
408,0.604
409,1.559
410,2.000
411,1.522
412,0.564
413,0.007
414,0.363
415,1.305
416,1.966
417,1.739
418,0.833
419,0.080
420,0.173
421,1.027
422,1.856
423,1.898
424,1.115
425,0.226
426,0.049
427,0.746
428,1.677
429,1.985
430,1.388
431,0.434
432,0.000
433,0.486
434,1.444
435,1.994
436,1.630
437,0.687
438,0.032
439,0.267
440,1.176
441,1.923
442,1.822
443,0.965
444,0.140
445,0.106
446,0.894
447,1.779
448,1.948
449,1.245
450,0.317
451,0.016
452,0.620
453,1.573
454,1.999
455,1.506
456,0.548
457,0.005
458,0.377
459,1.322
460,1.971
461,1.727
462,0.815
463,0.073
464,0.183
465,1.044
466,1.865
467,1.890
468,1.097
469,0.215
470,0.055
471,0.763
472,1.690
473,1.982
474,1.371
475,0.419
476,0.001
477,0.501
478,1.460
479,1.996
480,1.616
481,0.670
482,0.027
483,0.279
484,1.194
485,1.930
486,1.812
487,0.947
488,0.131
489,0.114
490,0.912
491,1.790
492,1.943
493,1.228
494,0.304
495,0.020
496,0.637
497,1.588
498,1.998
