"F1","F2","V","t","p","P","Angle"
0.100,0.1,5.000,25.000,75.000,100.000,0.000
0.112,0.104,5.201,22.601,66.383,99.191,0.735
0.103,0.105,3.934,23.748,82.704,100.187,-0.170
0.140,0.136,2.785,21.786,77.596,99.557,0.403
0.130,0.111,1.623,20.418,73.436,98.069,1.755
0.121,0.131,8.161,22.742,67.240,101.047,-0.952
0.139,0.116,3.056,22.799,76.889,97.713,2.079
0.104,0.104,6.255,20.797,69.717,100.047,-0.042
0.123,0.127,1.134,22.806,76.359,100.342,-0.311
0.102,0.142,0.823,21.009,76.859,103.919,-3.563
0.144,0.118,3.182,24.635,73.511,97.465,2.304
0.132,0.102,6.688,23.262,69.552,97.058,2.674
0.117,0.105,1.714,21.487,77.943,98.739,1.147
0.114,0.135,6.355,20.835,68.156,102.132,-1.938
0.106,0.108,1.374,22.217,79.388,100.160,-0.146
0.130,0.147,0.934,20.940,74.624,101.731,-1.574
0.122,0.101,6.098,20.866,77.983,97.902,1.907
0.103,0.141,4.768,20.318,65.056,103.783,-3.439
0.132,0.124,9.873,23.540,83.754,99.136,0.786
0.119,0.118,1.462,21.106,79.740,99.872,0.117
0.131,0.111,9.649,22.781,77.951,98.032,1.789
0.130,0.123,4.203,22.936,67.909,99.351,0.590
0.147,0.107,7.676,24.801,67.498,95.918,3.711
0.118,0.139,9.338,20.536,66.445,102.146,-1.951
0.114,0.146,2.408,22.214,72.242,103.253,-2.958
0.140,0.146,1.514,23.155,81.194,100.539,-0.490
0.140,0.112,2.140,22.703,79.652,97.282,2.471
0.103,0.149,5.636,20.158,84.766,104.629,-4.208
0.127,0.142,8.486,23.565,66.248,101.463,-1.330
0.149,0.103,9.843,20.539,72.851,95.428,4.156
0.132,0.111,2.672,24.216,68.212,97.951,1.863
0.104,0.136,9.897,22.609,70.962,103.250,-2.955
0.116,0.125,8.461,21.899,81.812,100.933,-0.848
0.111,0.131,7.803,23.609,80.058,102.052,-1.865
0.140,0.137,8.052,20.966,79.148,99.721,0.254
0.131,0.131,6.293,22.883,66.786,100.014,-0.013
0.121,0.141,3.273,24.420,70.820,101.952,-1.774
0.124,0.128,4.927,20.039,74.002,100.406,-0.369
0.123,0.132,9.513,20.695,79.581,100.852,-0.775
0.111,0.114,7.004,22.196,69.714,100.322,-0.293
0.140,0.122,7.683,20.235,82.675,98.208,1.629
0.111,0.141,0.666,20.256,70.255,102.985,-2.713
0.134,0.119,4.994,20.400,79.875,98.442,1.416
0.115,0.118,7.639,22.058,76.450,100.293,-0.266
0.149,0.146,9.341,22.436,77.739,99.674,0.296
0.117,0.111,8.981,24.580,81.409,99.392,0.553
0.147,0.105,3.432,24.268,79.635,95.806,3.812
0.140,0.143,8.161,21.689,76.613,100.297,-0.270
0.111,0.110,2.180,23.354,69.029,99.886,0.103
0.128,0.132,3.531,22.008,67.251,100.337,-0.306
0.128,0.125,4.940,24.603,67.207,99.757,0.221
0.126,0.123,4.905,22.566,67.304,99.756,0.222
0.108,0.146,1.026,23.529,69.100,103.833,-3.485
0.148,0.133,8.401,20.532,80.468,98.521,1.344
0.107,0.127,8.211,22.094,76.681,101.946,-1.769
0.103,0.123,8.901,20.012,73.035,101.980,-1.800
